"company_code","company_name","board","listing_date","province","city","industry","strategic_sector","is_bse","is_high_tech","is_specialized_new","longitude","latitude"
"920556.BJ","雅达股份","北证","2023-03-17","广东省","河源市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,114.697802,23.746266
"920906.BJ","舜宇精工","北证","2023-02-22","浙江省","余姚市","汽车制造业","高端制造",TRUE,TRUE,TRUE,121.152779,29.996457
"920198.BJ","微创光电","北证","2020-07-27","湖北省","武汉市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,114.298572,30.584355
"920992.BJ","中科美菱","北证","2022-10-18","安徽省","合肥市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,117.283042,31.86119
"920826.BJ","盖世食品","北证","2021-01-12","辽宁省","大连市","农副食品加工业","专精特新服务",TRUE,FALSE,FALSE,121.618622,38.91459
"920407.BJ","驰诚股份","北证","2023-02-16","河南省","郑州市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,113.665412,34.757975
"920392.BJ","佳合科技","北证","2022-12-30","江苏省","昆山市","造纸和纸制品业","专精特新服务",TRUE,FALSE,TRUE,120.965808,31.328937
"920942.BJ","恒立钻具","北证","2022-12-08","湖北省","武汉市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,114.298572,30.584355
"920027.BJ","交大铁发","北证","2025-06-10","四川省","成都市","铁路、船舶、航空航天和其他运输设备制造业","高端制造",TRUE,TRUE,FALSE,104.065735,30.659462
"920873.BJ","中设咨询","北证","2021-11-15","重庆","重庆市","专业技术服务业","专精特新服务",TRUE,FALSE,FALSE,106.504962,29.533155
"920433.BJ","大唐药业","北证","2020-07-27","内蒙古自治区","呼和浩特市","医药制造业","生命健康",TRUE,TRUE,TRUE,111.670801,40.818311
"920876.BJ","慧为智能","北证","2022-11-09","广东省","深圳市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,114.085947,22.547
"920395.BJ","朗鸿科技","北证","2022-09-01","浙江省","杭州市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,120.153576,30.287459
"920768.BJ","拾比佰","北证","2021-06-28","广东省","珠海市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,113.552724,22.255899
"920378.BJ","泰德股份","北证","2022-06-20","山东省","青岛市","汽车制造业","高端制造",TRUE,TRUE,TRUE,120.355173,36.082982
"920123.BJ","芭薇股份","北证","2024-03-29","广东省","广州市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,113.280637,23.125178
"920833.BJ","美心翼申","北证","2023-11-08","重庆","重庆市","通用设备制造业","高端制造",TRUE,TRUE,TRUE,106.504962,29.533155
