rank,exchange,financing_amount_usd_100m,financing_yoy_pct,ipo_count,period,note
1,纳斯达克证券交易所,1131,1116,45,2026H1,2026年上半年IPO募资
2,香港交易所,268,91,84,2026H1,2026年上半年IPO募资
3,纽约证券交易所,143,81,28,2026H1,2026年上半年IPO募资
4,上海证券交易所,94,129,28,2026H1,2026年上半年IPO募资
5,泛欧证券交易所,45,283,3,2026H1,2026年上半年IPO募资
6,深圳证券交易所,44,52,17,2026H1,2026年上半年IPO募资
7,印度证券交易所,39,-15,102,2026H1,2026年上半年IPO募资
8,北京证券交易所,17,399,36,2026H1,2026年上半年IPO募资
9,多伦多证券交易所,16,56,6,2026H1,2026年上半年IPO募资
10,特拉维夫证券交易所,16,311,9,2026H1,2026年上半年IPO募资
